path,class,tissue,label_binary
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1832.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3743.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2003.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1577.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca79.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca145.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4659.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1299.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca714.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1436.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2765.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1352.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca857.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca879.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2579.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3262.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4225.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4883.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca969.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2889.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4238.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4708.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1024.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1057.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1753.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4514.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4395.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca670.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3844.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3392.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca652.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca664.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3204.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3560.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2028.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca377.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1992.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca115.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2501.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3311.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3138.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4955.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4830.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4475.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1019.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3369.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4004.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2993.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4312.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca750.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2715.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1074.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1202.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1265.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca190.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2923.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1639.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca352.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3273.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4376.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3989.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3862.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4764.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2452.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3720.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2270.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1686.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1589.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca816.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4463.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4737.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca142.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca114.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2164.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1446.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca765.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3645.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4109.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1334.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca107.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2397.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2500.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2917.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4995.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1417.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1221.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1837.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca220.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca570.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2202.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2264.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1980.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4788.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1667.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca309.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca424.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca291.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2884.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1214.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3114.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2231.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1950.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca833.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1178.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3050.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca773.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2998.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca793.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3536.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3834.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca483.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3796.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2775.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2236.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4570.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4655.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca50.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca420.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1867.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca116.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4327.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4438.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca89.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4508.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca537.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3913.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3676.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4220.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3598.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3316.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2276.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4515.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca704.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca910.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2673.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1005.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3603.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3561.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4297.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1128.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2893.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3828.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1756.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2013.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1134.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4230.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1946.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca243.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3706.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2825.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4075.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2625.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3425.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3734.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1423.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca396.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4666.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4145.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca125.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2566.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca660.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3597.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2746.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1089.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3522.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4211.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4314.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4294.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1476.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2697.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1611.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4413.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4549.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca699.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2815.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1986.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1745.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3523.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4445.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4942.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4500.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1687.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca349.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4895.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3965.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2974.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca312.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4081.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4580.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1819.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca383.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1899.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4287.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3233.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4668.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3131.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca853.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1028.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4409.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1917.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2481.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1659.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca622.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3946.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2457.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3820.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3419.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3435.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1266.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3103.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1587.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4396.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2128.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca567.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1205.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3948.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3906.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1620.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3478.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca876.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1871.jpeg,lung_aca,lung,1
